source,bucket,provider_type,name,address,area,lat,lng,phone,website,rating,reviews,hours_json,pet_policy,unclaimed_on_google,external_source,external_id
serpapi,provider,vet,Leocan,"Bulnes 1286, C1176 Cdad. Autónoma de Buenos Aires, Argentina","Palermo, CABA",-34.5969025,-58.4172431,+54 11 2098-8987,http://www.leocan.com.ar/,4.2,2500,"{""jueves"": ""Abierto las 24 horas"", ""viernes"": ""Abierto las 24 horas"", ""sábado"": ""Abierto las 24 horas"", ""domingo"": ""Abierto las 24 horas"", ""lunes"": ""Abierto las 24 horas"", ""martes"": ""Abierto las 24 horas"", ""miércoles"": ""Abierto las 24 horas""}",,,serpapi_gmaps,0x95bccb026fe44759:0x9332533fe99c2963
serpapi,provider,vet,clinica CVP,"Paraguay 4647, C1425 BSQ, Cdad. Autónoma de Buenos Aires, Argentina","Palermo, CABA",-34.5835825,-58.425486199999995,+54 75568487,,4.6,256,"{""jueves"": ""10 a.m.–8 p.m."", ""viernes"": ""10 a.m.–8 p.m."", ""sábado"": ""10 a.m.–2 p.m."", ""domingo"": ""Cerrado"", ""lunes"": ""10 a.m.–8 p.m."", ""martes"": ""10 a.m.–8 p.m."", ""miércoles"": ""10 a.m.–8 p.m.""}",,,serpapi_gmaps,0x95bcb5844ee78265:0x3d6da247dc0d6802
serpapi,provider,vet,Veterinaria Salguero,"Francisco Acuña de Figueroa 1599, C1180 ABC, Cdad. Autónoma de Buenos Aires, Argentina","Palermo, CABA",-34.5929377,-58.4206797,+54 48619834,https://www.instagram.com/veterinariasalguero/,4.8,247,"{""jueves"": ""10 a.m.–8 p.m."", ""viernes"": ""10 a.m.–8 p.m."", ""sábado"": ""10 a.m.–3 p.m."", ""domingo"": ""Cerrado"", ""lunes"": ""10 a.m.–8 p.m."", ""martes"": ""10 a.m.–8 p.m."", ""miércoles"": ""10 a.m.–8 p.m.""}",,,serpapi_gmaps,0x95bcca7e8e8306dd:0xa7b059a21f96dda3
serpapi,provider,vet,Animal Friends,"Beruti 3599, C1425BBU Cdad. Autónoma de Buenos Aires, Argentina","Palermo, CABA",-34.5852143,-58.4123623,+54 11 4822-9752,,4.5,156,"{""jueves"": ""9 a.m.–8 p.m."", ""viernes"": ""9 a.m.–8 p.m."", ""sábado"": ""9:30 a.m.–8 p.m."", ""domingo"": ""Cerrado"", ""lunes"": ""9 a.m.–8 p.m."", ""martes"": ""9 a.m.–8 p.m."", ""miércoles"": ""9 a.m.–8 p.m.""}",,,serpapi_gmaps,0x95bcb57e0dead6b3:0xa302bce90a5b2631
serpapi,provider,vet,Vetrix Clínica Veterinaria,"Dr. Emilio Ravignani 2246, C1425 Cdad. Autónoma de Buenos Aires, Argentina","Palermo, CABA",-34.5774577,-58.434642999999994,+54 11 2614-3089,http://www.veterinariavetrix.com.ar/,5,76,"{""jueves"": ""10 a.m.–7 p.m."", ""viernes"": ""10 a.m.–7 p.m."", ""sábado"": ""10 a.m.–2 p.m."", ""domingo"": ""Cerrado"", ""lunes"": ""10 a.m.–7 p.m."", ""martes"": ""10 a.m.–3 p.m."", ""miércoles"": ""10 a.m.–7 p.m.""}",,,serpapi_gmaps,0x95bcb500649badb5:0xc10825a3ead42fe
serpapi,provider,vet,V Q Pet Shop,"Beruti 4596, C1425 Cdad. Autónoma de Buenos Aires, Argentina","Palermo, CABA",-34.5779005,-58.424262299999995,+54 11 5507-2284,https://gotme.app/profile/oscar,4.5,659,"{""jueves"": ""9 a.m.–9 p.m."", ""viernes"": ""9 a.m.–9 p.m."", ""sábado"": ""10 a.m.–4 p.m."", ""domingo"": ""Cerrado"", ""lunes"": ""9 a.m.–9 p.m."", ""martes"": ""9 a.m.–9 p.m."", ""miércoles"": ""9 a.m.–9 p.m.""}",,,serpapi_gmaps,0x95bcb59b9ca687bd:0xa5f7637ad8205c64
serpapi,provider,vet,Veterinaria S&B - Servicios Veterinarios,"veterinaria, Av. Raúl Scalabrini Ortiz 1886, C1414 Cdad. Autónoma de Buenos Aires, Argentina","Palermo, CABA",-34.5891661,-58.422529999999995,+54 11 2875-2510,https://sbveterinarios.com.ar/,4.6,248,"{""jueves"": ""9 a.m.–8 p.m."", ""viernes"": ""9 a.m.–8 p.m."", ""sábado"": ""9 a.m.–8 p.m."", ""domingo"": ""Cerrado"", ""lunes"": ""9 a.m.–8 p.m."", ""martes"": ""9 a.m.–8 p.m."", ""miércoles"": ""9 a.m.–8 p.m.""}",,,serpapi_gmaps,0x95bcb5a32461df4d:0x6743c0fbed74f4cb
serpapi,provider,vet,Hernán Porfirio,"Bonpland 2460, C1425FWH Cdad. Autónoma de Buenos Aires, Argentina","Palermo, CABA",-34.5772817,-58.430529699999994,+54 11 4771-6086,,4.6,163,"{""jueves"": ""9 a.m.–8 p.m."", ""viernes"": ""9 a.m.–8 p.m."", ""sábado"": ""9 a.m.–8 p.m."", ""domingo"": ""Cerrado"", ""lunes"": ""9 a.m.–8 p.m."", ""martes"": ""9 a.m.–8 p.m."", ""miércoles"": ""9 a.m.–8 p.m.""}",,True,serpapi_gmaps,0x95bcb590c612f071:0xec4ab597f43b6602
serpapi,provider,vet,Totalpet Barrio Norte,"Jerónimo Salguero 2620, C1425DEX C1425DEX, Cdad. Autónoma de Buenos Aires, Argentina","Palermo, CABA",-34.580895,-58.409302,+54 11 6955-2323,http://www.totalpet.com.ar/,5,31,"{""jueves"": ""9 a.m.–8:30 p.m."", ""viernes"": ""9 a.m.–8:30 p.m."", ""sábado"": ""9 a.m.–8:30 p.m."", ""domingo"": ""Cerrado"", ""lunes"": ""9 a.m.–8:30 p.m."", ""martes"": ""9 a.m.–8:30 p.m."", ""miércoles"": ""9 a.m.–8:30 p.m.""}",,,serpapi_gmaps,0x95bcb5005e9fe4e7:0xb1771db7f1aea8d6
serpapi,provider,vet,VETERINARIA RURAL PALERMO,"Av. Raúl Scalabrini Ortiz 2071, C1425DBB Cdad. Autónoma de Buenos Aires, Argentina","Palermo, CABA",-34.5881614,-58.4204911,+54 11 4832-0442,,4.5,379,"{""jueves"": ""9 a.m.–7 p.m."", ""viernes"": ""9 a.m.–7 p.m."", ""sábado"": ""9 a.m.–6 p.m."", ""domingo"": ""Cerrado"", ""lunes"": ""9 a.m.–7 p.m."", ""martes"": ""9 a.m.–7 p.m."", ""miércoles"": ""9 a.m.–7 p.m.""}",,True,serpapi_gmaps,0x95bcb5809ad39c73:0xabef8e6277102bf5
